-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 06/01/2024 through 07/05/2026 in LST
Location: Latitude  8.1667   Longitude 80.9333 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 121.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M            MERRA-2 Wind Direction at 2 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS2M,WD2M
2024,6,1,0,26.39,0.13,2.59,225.9
2024,6,1,1,26.32,0.3,2.51,227.4
2024,6,1,2,26.31,0.36,2.66,230.2
2024,6,1,3,26.28,0.39,2.62,231.8
2024,6,1,4,26.28,0.32,2.66,233.3
2024,6,1,5,26.36,0.29,2.76,234.0
2024,6,1,6,27.07,0.25,3.31,235.3
2024,6,1,7,28.07,0.3,3.93,238.9
2024,6,1,8,29.04,0.29,4.32,242.1
2024,6,1,9,29.74,0.33,4.33,243.0
2024,6,1,10,30.23,0.36,4.3,243.5
2024,6,1,11,30.46,0.75,4.28,243.2
2024,6,1,12,30.48,0.68,4.24,244.0
2024,6,1,13,30.23,0.89,4.1,244.6
2024,6,1,14,29.73,0.89,3.93,244.2
2024,6,1,15,29.05,1.17,3.83,242.5
2024,6,1,16,28.21,1.69,3.73,238.8
2024,6,1,17,27.33,2.05,3.75,235.4
2024,6,1,18,26.71,2.52,3.7,231.8
2024,6,1,19,26.38,3.62,3.37,225.7
2024,6,1,20,26.25,4.75,3.22,217.7
2024,6,1,21,26.17,5.03,3.3,212.5
2024,6,1,22,26.07,4.94,3.13,212.1
2024,6,1,23,25.96,4.8,2.66,213.5
2024,6,2,0,25.81,4.61,2.14,216.7
2024,6,2,1,25.75,1.64,2.23,223.0
2024,6,2,2,25.73,0.38,2.49,227.0
2024,6,2,3,25.69,0.21,2.79,232.1
2024,6,2,4,25.62,0.27,2.86,234.3
2024,6,2,5,25.59,0.65,2.77,234.7
2024,6,2,6,26.19,1.1,2.95,235.8
2024,6,2,7,27.18,1.05,2.99,238.3
2024,6,2,8,28.36,1.22,3.14,244.9
2024,6,2,9,29.01,1.88,3.06,249.6
2024,6,2,10,29.06,2.72,3.0,250.3
2024,6,2,11,29.2,43.3,3.19,249.6
2024,6,2,12,29.4,33.08,3.42,249.1
2024,6,2,13,29.17,35.78,3.52,249.2
2024,6,2,14,28.68,36.11,3.54,249.0
2024,6,2,15,28.04,32.49,3.36,247.8
2024,6,2,16,27.31,26.61,2.78,244.9
2024,6,2,17,26.42,18.68,2.13,238.3
2024,6,2,18,25.82,12.47,2.13,231.1
2024,6,2,19,25.61,7.58,2.33,224.8
2024,6,2,20,25.43,6.47,2.45,221.0
2024,6,2,21,25.26,6.97,2.52,220.3
2024,6,2,22,25.09,6.41,2.53,221.3
2024,6,2,23,24.91,3.6,2.51,221.4
2024,6,3,0,24.76,3.83,2.55,220.2
2024,6,3,1,24.61,3.59,2.65,219.9
2024,6,3,2,24.44,2.03,2.51,218.2
2024,6,3,3,24.29,2.51,2.38,214.9
2024,6,3,4,24.16,3.06,2.3,213.5
2024,6,3,5,24.21,3.09,2.41,214.3
2024,6,3,6,25.09,3.05,2.96,214.5
2024,6,3,7,26.28,6.2,3.32,215.8
2024,6,3,8,27.63,5.86,4.18,220.4
2024,6,3,9,28.59,2.0,4.66,226.3
2024,6,3,10,29.22,1.99,4.89,231.1
2024,6,3,11,29.73,0.26,5.06,234.5
2024,6,3,12,30.16,0.29,5.22,236.9
2024,6,3,13,30.1,0.42,5.28,238.2
2024,6,3,14,29.64,0.7,5.16,238.1
2024,6,3,15,28.85,0.73,4.71,237.0
2024,6,3,16,27.88,0.8,3.79,235.1
2024,6,3,17,26.77,0.64,2.51,231.5
2024,6,3,18,25.92,0.7,1.97,223.2
2024,6,3,19,25.64,0.57,2.06,214.9
2024,6,3,20,25.47,0.66,2.11,209.5
2024,6,3,21,25.25,0.57,2.08,207.4
2024,6,3,22,25.12,0.49,2.17,208.9
2024,6,3,23,25.02,0.34,2.19,212.5
2024,6,4,0,24.97,0.33,2.4,216.0
2024,6,4,1,24.9,0.46,2.42,218.0
2024,6,4,2,24.85,0.4,2.4,219.1
2024,6,4,3,24.78,0.46,2.28,218.8
2024,6,4,4,24.67,0.46,2.19,219.4
2024,6,4,5,24.76,0.52,2.22,221.9
2024,6,4,6,26.04,0.58,3.04,224.2
2024,6,4,7,27.82,0.59,3.97,223.5
2024,6,4,8,29.37,0.26,4.57,225.1
2024,6,4,9,30.48,0.29,4.73,228.8
2024,6,4,10,31.17,0.74,4.83,232.5
2024,6,4,11,31.44,0.9,4.92,235.4
2024,6,4,12,31.41,1.34,5.02,237.6
2024,6,4,13,31.11,1.47,5.04,239.5
2024,6,4,14,30.67,1.35,5.0,241.1
2024,6,4,15,30.0,0.93,4.85,241.5
2024,6,4,16,28.98,0.84,4.29,241.0
2024,6,4,17,27.6,0.52,3.22,240.0
2024,6,4,18,26.51,0.31,2.64,237.7
2024,6,4,19,26.06,0.25,2.62,234.8
2024,6,4,20,25.75,0.22,2.45,231.6
2024,6,4,21,25.55,0.25,2.22,229.6
2024,6,4,22,25.42,0.31,2.21,229.8
2024,6,4,23,25.31,0.33,2.32,230.1
2024,6,5,0,25.21,0.33,2.39,229.9
2024,6,5,1,25.08,0.34,2.39,228.9
2024,6,5,2,24.95,0.25,2.34,227.4
2024,6,5,3,24.87,0.33,2.4,227.2
2024,6,5,4,24.86,0.48,2.6,226.4
2024,6,5,5,24.94,0.32,2.77,226.3
2024,6,5,6,25.94,0.31,3.33,228.2
2024,6,5,7,27.52,0.28,4.29,230.0
2024,6,5,8,28.97,0.14,4.82,230.3
2024,6,5,9,30.1,0.28,4.68,230.9
2024,6,5,10,30.86,0.38,4.45,231.0
2024,6,5,11,31.29,0.13,4.49,231.7
2024,6,5,12,31.1,0.21,4.56,233.7
